551	SM1 have bad chips	Replacement of bad chips	
552	SM2 have bad chips	Replacement of bad chips	
560	SM0 loss balance	Plug in the adapter plate, and then screw in the power connection hashboard again	
561	SM1 loss balance	Plug in the adapter plate, and then screw in the power connection hashboard again	
562	SM2 loss balance	Plug in the adapter plate, and then screw in the power connection hashboard again	
600	Environment temperature is high	Please check the environment temperature	
610	If the ambient temperature is too high in high performance mode, return to normal mode	Check the ambient temperature, high performance mode needs to be controlled below 30 ?	
710	Control board rebooted as exception	Updating the latest firmware.Check whether the control board screw is locked properly	
712	Control board rebooted as exception	Updating the latest firmware.Check whether the control board screw is locked properly	
800	cgminer checksum error	Re upgrade firmware	
801	system-monitor checksum error	Re upgrade firmware	
802	remote-daemon checksum error	Re upgrade firmware	
2010	All pools are disable	Please check the network or pools configure	
2020	Pool0 connect failed	Please check the network or pools configure	
2021	Pool1 connect failed	Please check the network or pools configure	
2022	Pool2 connect failed	Please check the network or pools configure	
2030	High rejection rate of pool	Please check the network or pools configure.Setting of mining currency	
2040	The pool does not support the asicboost mode	Check pool configuration	
2310	Hash rate is too low	Check input voltage, network environment, and ambient temperature	
2320	Hash rate is too low	Check input voltage, network environment, and ambient temperature	
2340	The loss of hash rate is too high	Check input voltage, network environment, and ambient temperature	
2350	The loss of hash rate is too high	Check input voltage, network environment, and ambient temperature	
5110	SM0 Frequency Up Timeout	reboot	
5111	SM1 Frequency Up Timeout	reboot	
5112	SM2 Frequency Up Timeout	reboot	
8410	Software version error (M2x miner with M3x firmware, or M3x with M2x firmware).	Upgrade to the correct firmware version	
100001	/antiv/signature Illegal	Re-upgrade the firmware	
100002	/antiv/dig/initd.dig Illegal	Re-upgrade the firmware	
100003	/antiv/dig/pf_partial.dig Illegal	Re-upgrade the firmware	
PSU Error code	Reason	processing method	
0x0001	Input voltage is too low,need improvement	Check the power supply	
0x0002	Temperature sampling over temperature protection of power radiator	Power on again after 10 minutes of power failure. If it occurs again, replace the power supply	
0x0004	Temperature sampling over temperature protection of power radiator	Power on again after 10 minutes of power failure. If it occurs again, replace the power supply	
0x0008	Over temperature protection of environmental temperature sampling in power supply	Power on again after 10 minutes of power failure. If it occurs again, replace the power supply	
0x0010	Primary side over current	Power on again after 10 minutes of power failure. If it occurs again, replace the power supply	
0x0020	Output undervoltage	Check the power supply	
0x0040	Output over current (continuous load 320A for more than 2S)	Tighten the copper bar screw again	
0x0080	Primary side over current	Power on again after 10 minutes of power failure. If it occurs again, replace the power supply	
0x0100	Single circuit overcurrent (protection point 120a)	Check the power supply	
0x0200	Single circuit overcurrent (protection point 120a)	Check the power supply	
0x0400	Single circuit overcurrent (protection point 120a)	Check the power supply	
0x0800	Fan failure	Replace the power supply	
0x1000	Output over current (continuous load of 310A for more than 5min)	Check the power supply	
0x2000	Output over current (continuous load 295A for more than 10min)	Check the power supply	
